Caffe_name,name,Rating,Review
Caffe Cerry,Eko Suhardi,5.0,"Sepanjang jalan depan cafe, setiap minggu pagi, tempat jalan santai dan tempatnya para pejuang rupiah (pedagang). Mantaaaap dah pokonya"
Caffe Cerry,jpoey kmg,4.0,Tempat minum kopi segelas 3 jam.
Caffe Cerry,salwa nurholizah,5.0,babeh nya asikk
Caffe Cerry,CAHAYA IMAN,5.0,Mamtap. Ada toilet nya juga. Tempat mangkal gw tuhh.. Caffe cerry anak muda bangettt.
Caffe Cerry,Tah Yani (Tah),5.0,Tempatnya nyaman bisa parkir ada kelapa muda durian sama nangka
Caffe Cerry,Bagus Utomo,5.0,"Es Kelapa Muda nya manis, air nya banyak mantaab..strategis pinggir tol sultan"
Caffe Cerry,Sutarno O,5.0,"Enak buat istirahat .buat nongkrong .
Buat santai sambil ngopi"
Caffe Cerry,Lizbeth Hapsari,4.0,"Tempat cocok buat kongkow, minum kopi gratis wifi"
Caffe Cerry,Ridwan Iwancell,5.0,Enk buat ngopi smbil nyantai breng ngbrl sama temen
Caffe Cerry,Imawan Agus,5.0,Tempat nya enak apalagi kalau sdh menjelang sore
Caffe Cerry,herwanto herwanto,5.0,kopinya ada banyak macamnya dengan harga setengah dari cafe cafe lainya
Caffe Cerry,syaiful rohim,5.0,Asik tempat nya..
Caffe Cerry,Lauh Mahfud,5.0,Jos
